iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_neighbours,layer_interdependences_religion,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_neighbours,layer_polarisations_religion,layer_polarisations_cultural
23,-0.07456861312811784,5,454,529,0.10536051565782631,0.19930400584050592,0.19104184506064215,0.22288491086534754,0.169032832417133,0.21773640581638035,0.30448274531322034,0.30448274531322034,0.30448274531322034,0.30448274531322034,0.30448274531322034
24,-0.16869236963214795,5,474,550,0.10536051565782631,0.2003463463225797,0.19042411947012336,0.22208204894848468,0.17025074566107307,0.2168967395977511,0.3206335159710539,0.3206335159710539,0.3206335159710539,0.3206335159710539,0.3206335159710539
25,-0.10437052442501825,5,490,572,0.10536051565782631,0.19827858757008432,0.19053324073662237,0.22210516982499057,0.17142890276473285,0.2176540991035735,0.3136450312355388,0.3136450312355388,0.3136450312355388,0.3136450312355388,0.3136450312355388
26,-0.15657118465968187,6,509,593,0.12783337150988489,0.1981959645527422,0.19092623214412366,0.2235939072943877,0.1709225253449691,0.2163613706637803,0.3142839680926151,0.3142839680926151,0.3142839680926151,0.3142839680926151,0.3142839680926151
27,-0.19309895705302657,7,529,613,0.15082288973458363,0.1961089360713483,0.19064444054466648,0.22326334488324187,0.17180279176753174,0.2181804867332145,0.3270055667165015,0.3270055667165015,0.3270055667165015,0.3270055667165015,0.3270055667165015
28,-0.1819281593652737,7,549,633,0.15082288973458363,0.1986158771360366,0.19099177707371978,0.22116783381502544,0.1730844433257599,0.21614006864946556,0.369862787946351,0.369862787946351,0.369862787946351,0.369862787946351,0.369862787946351
29,-0.11651808145055488,7,571,654,0.15082288973458363,0.19882975524697977,0.19076777497015293,0.2225000977651955,0.17249210961319145,0.2154102624044811,0.3698005959184244,0.3698005959184244,0.3698005959184244,0.3698005959184244,0.3698005959184244
30,-0.15321015940058474,7,594,676,0.15082288973458363,0.1987305446567557,0.19029852123120164,0.22188582761981587,0.17262708860637235,0.21645801788585753,0.3781597239821816,0.3781597239821816,0.3781597239821816,0.3781597239821816,0.3781597239821816
31,-0.13953203996928376,7,615,698,0.15082288973458363,0.19754465165044655,0.19094920631680057,0.22274017088855796,0.1713905051568404,0.2173754659873554,0.3579750689038105,0.3579750689038105,0.3579750689038105,0.3579750689038105,0.3579750689038105
32,-0.1502433439432728,7,640,720,0.15082288973458363,0.1977634105166639,0.19088151875779194,0.22335894132201667,0.17015674923203725,0.21783938017149135,0.37173842727684897,0.37173842727684897,0.37173842727684897,0.37173842727684897,0.37173842727684897
33,-0.12222180437428197,7,661,742,0.15082288973458363,0.1992096171955577,0.1908270710388513,0.22286506661190056,0.1706789674424376,0.21641927771125136,0.3717543378037259,0.3717543378037259,0.3717543378037259,0.3717543378037259,0.3717543378037259
34,-0.10743788709981335,7,685,764,0.15082288973458363,0.20185134674487815,0.19051999018847668,0.22469181437194177,0.16723673741608883,0.2157001112786183,0.37067210795555067,0.37067210795555067,0.37067210795555067,0.37067210795555067,0.37067210795555067
35,-0.1241714453563095,8,709,786,0.17435338714477777,0.2017816629464184,0.19076167312995496,0.22394429909263278,0.1669062158155724,0.2166061490154282,0.38441633053573376,0.38441633053573376,0.38441633053573376,0.38441633053573376,0.38441633053573376
36,-0.0938736872183322,9,732,807,0.19845093872383823,0.2018066151986597,0.1907906522300821,0.2241357379147572,0.16642782930748767,0.21683916534901904,0.387669014498844,0.387669014498844,0.387669014498844,0.387669014498844,0.387669014498844
37,-0.1043948935238343,9,755,829,0.19845093872383823,0.20171719065967422,0.19068679616755,0.22344965442029668,0.16814228347893972,0.21600407527354706,0.37044188290378555,0.37044188290378555,0.37044188290378555,0.37044188290378555,0.37044188290378555
38,-0.12177423528603441,9,778,852,0.19845093872383823,0.2022187682558763,0.19052042746042863,0.2236854302846739,0.1672134074555242,0.2163619665435017,0.3939037103786498,0.3939037103786498,0.3939037103786498,0.3939037103786498,0.3939037103786498
39,-0.11260753131342285,9,801,875,0.19845093872383823,0.20221876825587626,0.19052042746042858,0.223685430284674,0.1672134074555242,0.21636196654350173,0.3939037103786498,0.3939037103786498,0.3939037103786498,0.3939037103786498,0.3939037103786498
40,-0.09239491795088065,9,824,898,0.19845093872383823,0.20221876825587623,0.19052042746042863,0.223685430284674,0.16721340745552415,0.21636196654350165,0.3939037103786498,0.3939037103786498,0.3939037103786498,0.3939037103786498,0.3939037103786498
41,-0.1298757172544688,9,847,918,0.19845093872383823,0.20181569439165148,0.19053358289743483,0.22377860988774984,0.1666931185810627,0.2171789942421039,0.3967277005088253,0.3967277005088253,0.3967277005088253,0.3967277005088253,0.3967277005088253
42,-0.0718815711738933,9,870,941,0.19845093872383823,0.20181121092019214,0.19052810130314327,0.22374377389047553,0.16677952682006084,0.21713738706613128,0.3949540092997738,0.3949540092997738,0.3949540092997738,0.3949540092997738,0.3949540092997738
43,-0.10960086222681614,9,891,960,0.19845093872383823,0.2021316219883092,0.19071438558202775,0.22311116362083075,0.1676285850039091,0.2164142438049284,0.3879470735511227,0.3879470735511227,0.3879470735511227,0.3879470735511227,0.3879470735511227
