iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
51,0.032549619376167696,34,766,334,1.8971199848858813,0.24942106090174676,0.2500440403803858,0.2531342765988383,0.24740062211902877,0.46364586700578425,0.46364586700578425,0.46364586700578425,0.46364586700578425
52,0.004195907810498006,34,772,336,1.8971199848858813,0.25015923841468135,0.24837053512983687,0.2513853658165004,0.25008486063898083,0.4704783465987739,0.4704783465987739,0.4704783465987739,0.4704783465987739
53,0.05280027715862138,34,778,337,1.8971199848858813,0.2515917239798929,0.24781364533465436,0.2557137476326515,0.24488088305280167,0.4398757187674105,0.4398757187674105,0.4398757187674105,0.4398757187674105
54,-0.04758397881366346,35,782,339,2.0794415416798357,0.2535263570073953,0.24784872382008122,0.2543914068683636,0.24423351230416057,0.4316875828287407,0.4316875828287407,0.4316875828287407,0.4316875828287407
55,-0.013564142283612557,35,787,343,2.0794415416798357,0.25480985335318873,0.24827301787858838,0.25438035090293204,0.2425367778652918,0.42290745316273437,0.42290745316273437,0.42290745316273437,0.42290745316273437
56,0.001418932856931812,36,791,345,2.302585092994046,0.256980041950038,0.24878696452440643,0.2547327674613543,0.23950022606420532,0.40162442233005685,0.40162442233005685,0.40162442233005685,0.40162442233005685
57,0.0027983818284837312,36,795,348,2.302585092994046,0.252838436702739,0.2492331049931109,0.25376938982169145,0.24415906848246002,0.3752568282513039,0.3752568282513039,0.3752568282513039,0.3752568282513039
58,0.026181892237160175,36,797,350,2.302585092994046,0.24442458096905814,0.2575144023306728,0.25042820626099277,0.24763281043927682,0.3424900127307193,0.3424900127307193,0.3424900127307193,0.3424900127307193
59,0.011170244321170347,36,800,351,2.302585092994046,0.23998393630719955,0.25654079130815965,0.2511909960461535,0.25228427633848866,0.33931304375861826,0.33931304375861826,0.33931304375861826,0.33931304375861826
60,-0.009003799369771965,36,803,351,2.302585092994046,0.23983299819478104,0.25638536257909755,0.2537450147745185,0.25003662445160335,0.36071220948404287,0.36071220948404287,0.36071220948404287,0.36071220948404287
61,-0.03174023405253491,36,806,354,2.302585092994046,0.23896108966087956,0.25728800607180224,0.2592513388430124,0.24449956542430745,0.3464030131319526,0.3464030131319526,0.3464030131319526,0.3464030131319526
62,-0.08072482444419847,36,809,357,2.302585092994046,0.2377223635424372,0.2598666054445796,0.25794725819764625,0.2444637728153376,0.3332987729706113,0.3332987729706113,0.3332987729706113,0.3332987729706113
63,-0.06461664988017882,37,811,360,2.590267165445827,0.2378815396884573,0.25616741696400114,0.2575210307933841,0.24843001255415728,0.3231975976405258,0.3231975976405258,0.3231975976405258,0.3231975976405258
64,-0.028243487159092674,37,813,363,2.590267165445827,0.23898756837591784,0.25485026800305743,0.2568649030773783,0.24929726054364562,0.31443724120889727,0.31443724120889727,0.31443724120889727,0.31443724120889727
65,-0.02893024144352805,37,816,366,2.590267165445827,0.2438544582588389,0.2500718528107805,0.25598728682592414,0.2500864021044563,0.3234508162391101,0.3234508162391101,0.3234508162391101,0.3234508162391101
66,-0.02690427242192661,37,819,369,2.590267165445827,0.24785379098972868,0.2477807082337863,0.25386880747563295,0.2504966933008533,0.3323033917650627,0.3323033917650627,0.3323033917650627,0.3323033917650627
67,-0.03530274859048331,37,822,372,2.590267165445827,0.2481289176041039,0.2464844459868694,0.25248546714404374,0.2529011692649851,0.34505652531426123,0.34505652531426123,0.34505652531426123,0.34505652531426123
68,-0.1295390505902486,37,824,375,2.590267165445827,0.24884763089035128,0.24869083927007443,0.25070455871576497,0.2517569711238105,0.32903307660143294,0.32903307660143294,0.32903307660143294,0.32903307660143294
69,-0.1031793978128284,37,826,378,2.590267165445827,0.24606714406410185,0.25179262512148337,0.2493890120090149,0.25275121880539914,0.3171069399009263,0.3171069399009263,0.3171069399009263,0.3171069399009263
70,-0.12800467232158372,37,829,381,2.590267165445827,0.24436353318877838,0.2525013557749575,0.2506040966276117,0.2525310144086526,0.31644231406636614,0.31644231406636614,0.31644231406636614,0.31644231406636614
71,-0.13664600149539846,37,832,383,2.590267165445827,0.24191498757833527,0.25070586417623836,0.25032027496042014,0.2570588732850054,0.32619888879749176,0.32619888879749176,0.32619888879749176,0.32619888879749176
72,-0.18139643650703377,37,835,386,2.590267165445827,0.24058701591235723,0.24947781083572282,0.25386253499402534,0.2560726382578949,0.35800877337895587,0.35800877337895587,0.35800877337895587,0.35800877337895587
73,-0.1522149035074199,37,837,388,2.590267165445827,0.23908757115986,0.25155183019134636,0.2566424967125123,0.2527181019362807,0.33716703202690296,0.33716703202690296,0.33716703202690296,0.33716703202690296
74,-0.1271603596018554,37,840,389,2.590267165445827,0.24121172037732042,0.25098297962426847,0.2575535546662792,0.2502517453321322,0.3292480134872717,0.3292480134872717,0.3292480134872717,0.3292480134872717
75,-0.048979699848850075,37,843,391,2.590267165445827,0.24388668726801638,0.2505005235566287,0.2564516411841134,0.2491611479912415,0.36062189411991624,0.36062189411991624,0.36062189411991624,0.36062189411991624
76,-0.04638243185978112,37,846,394,2.590267165445827,0.246527042094117,0.2500349633871922,0.25385256646430027,0.2495854280543905,0.37939201203159717,0.37939201203159717,0.37939201203159717,0.37939201203159717
77,-0.02381719772063227,37,848,396,2.590267165445827,0.24516860028262744,0.24823105536796647,0.25374831059719394,0.2528520337522102,0.3547286105523767,0.3547286105523767,0.3547286105523767,0.3547286105523767
78,-0.06768876309783596,37,850,399,2.590267165445827,0.24501008828528079,0.2460630860240787,0.25286602695722077,0.2560607987334191,0.3600280145371795,0.3600280145371795,0.3600280145371795,0.3600280145371795
79,-0.01103389950801384,37,852,402,2.590267165445827,0.24499539155984815,0.24326888394965346,0.2555965696561068,0.2561391548343915,0.3889131986737475,0.3889131986737475,0.3889131986737475,0.3889131986737475
80,-0.04113340824861995,37,855,405,2.590267165445827,0.24281737879467002,0.24281462846350887,0.2554849583595904,0.2588830343822306,0.3724316429526002,0.3724316429526002,0.3724316429526002,0.3724316429526002
81,0.017612931278964274,37,858,408,2.590267165445827,0.23699311049550156,0.2491064344586816,0.2535864437853069,0.2603140112605113,0.35733055507232747,0.35733055507232747,0.35733055507232747,0.35733055507232747
82,0.04049180351456007,37,860,410,2.590267165445827,0.23742412568914467,0.2546376530612042,0.25214845776447703,0.25578976348517307,0.35078031439546836,0.35078031439546836,0.35078031439546836,0.35078031439546836
83,0.003241922109898504,37,863,413,2.590267165445827,0.2388967246575706,0.2584391950751092,0.24830554579605643,0.2543585344712649,0.3985955709856027,0.3985955709856027,0.3985955709856027,0.3985955709856027
84,0.0083430060030105,37,864,416,2.590267165445827,0.2424776875980882,0.25475001251228757,0.24774772135810155,0.2550245785315217,0.42457195329896785,0.42457195329896785,0.42457195329896785,0.42457195329896785
85,0.018299166634572157,37,867,418,2.590267165445827,0.24154298737601548,0.2527548885637924,0.2502818097269242,0.25542031433326795,0.43831605230522935,0.43831605230522935,0.43831605230522935,0.43831605230522935
86,0.020226507893127767,37,869,420,2.590267165445827,0.24090673858137968,0.25476795469516356,0.24992843865291078,0.2543968680705457,0.41812193171950374,0.41812193171950374,0.41812193171950374,0.41812193171950374
87,-0.11817161758640168,37,872,423,2.590267165445827,0.2439414719812767,0.2525465932971767,0.25206064753497776,0.2514512871865686,0.5193890915771998,0.5193890915771998,0.5193890915771998,0.5193890915771998
88,-0.09098242065813006,37,874,425,2.590267165445827,0.24292370720310272,0.24804358017732028,0.2544618009278563,0.25457091169172125,0.5165614976942572,0.5165614976942572,0.5165614976942572,0.5165614976942572
89,-0.12825099434823523,37,877,428,2.590267165445827,0.24429310499962809,0.24831105901851058,0.25730162448183225,0.25009421150002825,0.5016184334161218,0.5016184334161218,0.5016184334161218,0.5016184334161218
90,-0.13587859889672488,37,880,431,2.590267165445827,0.2432473326696196,0.250278892762104,0.2562923881157586,0.25018138645251864,0.5120651607789009,0.5120651607789009,0.5120651607789009,0.5120651607789009
91,-0.2120952241481539,37,883,434,2.590267165445827,0.24712752279943423,0.24979685505868207,0.2548996175020409,0.2481760046398431,0.5069000960637685,0.5069000960637685,0.5069000960637685,0.5069000960637685
92,-0.19864430057031227,37,886,436,2.590267165445827,0.24512751170304878,0.2519671159249124,0.2545762812010712,0.24832909117097013,0.5135987460956158,0.5135987460956158,0.5135987460956158,0.5135987460956158
93,-0.18684489062227305,37,889,439,2.590267165445827,0.2456441303597528,0.25218913280142935,0.2519518242873078,0.2502149125515124,0.5052148770900039,0.5052148770900039,0.5052148770900039,0.5052148770900039
94,-0.1609204888746442,37,892,441,2.590267165445827,0.24746133307984292,0.252428494304796,0.25147424316697364,0.2486359294483866,0.5158280780884857,0.5158280780884857,0.5158280780884857,0.5158280780884857
95,-0.1107254071908353,37,894,444,2.590267165445827,0.2518224511595207,0.25108421562937155,0.24857818929935221,0.24851514391175644,0.46836944844927964,0.46836944844927964,0.46836944844927964,0.46836944844927964
96,-0.061255574413707416,37,896,447,2.590267165445827,0.24955424713223492,0.25248567705725916,0.24839311751477536,0.2495669582957333,0.4227326597312354,0.4227326597312354,0.4227326597312354,0.4227326597312354
97,0.011400225892812327,37,897,448,2.590267165445827,0.24742248460996777,0.25334466504821823,0.24739554009002274,0.25183731025179157,0.366445172421527,0.366445172421527,0.366445172421527,0.366445172421527
98,-0.011346183819712285,37,900,451,2.590267165445827,0.24580651987639057,0.25418129488065516,0.2486827080127361,0.2513294772302196,0.3407379599212472,0.3407379599212472,0.3407379599212472,0.3407379599212472
99,0.03941280387919404,37,903,453,2.590267165445827,0.2470965047087608,0.2544890403476284,0.24836101049309062,0.25005344445052324,0.35971310867998896,0.35971310867998896,0.35971310867998896,0.35971310867998896
100,0.005744846477887364,37,905,456,2.590267165445827,0.24670900166884802,0.2586593949157249,0.24830890361162425,0.24632269980380417,0.42357424270798544,0.42357424270798544,0.42357424270798544,0.42357424270798544
