iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
36,-0.1785518327757576,32,376,277,1.6094379124341005,0.24941965395080773,0.25197335952624356,0.2583810861638168,0.24022590035913155,0.3777399058430204,0.3777399058430204,0.3777399058430204,0.3777399058430204
37,-0.13262793895161465,32,379,280,1.6094379124341005,0.24798612346753418,0.25218827741739025,0.24952746661570407,0.25029813249937166,0.3967672787216795,0.3967672787216795,0.3967672787216795,0.3967672787216795
38,-0.04291490343888375,33,382,284,1.7429693050586228,0.2516094996276505,0.2483871290634743,0.25411471915305445,0.24588865215582048,0.3618492079961204,0.3618492079961204,0.3618492079961204,0.3618492079961204
39,-0.12888623594339138,34,383,287,1.8971199848858813,0.2516476445734434,0.25005937854679744,0.25228821692624886,0.24600475995351,0.3924396932798554,0.3924396932798554,0.3924396932798554,0.3924396932798554
40,-0.0713384216440725,34,386,290,1.8971199848858813,0.24782757621518048,0.25344974916206287,0.25512516679331826,0.24359750782944012,0.3625901110348055,0.3625901110348055,0.3625901110348055,0.3625901110348055
41,-0.07890616590592205,35,388,293,2.0794415416798357,0.2486598960005207,0.2515174159486125,0.2555139506655926,0.24430873738527564,0.404441396107671,0.404441396107671,0.404441396107671,0.404441396107671
42,-0.07198438834591588,35,392,297,2.0794415416798357,0.25283853156129826,0.25124366288699956,0.25303168431143847,0.24288612124026474,0.42524781334491935,0.42524781334491935,0.42524781334491935,0.42524781334491935
43,-0.12082625498594597,35,395,301,2.0794415416798357,0.2524071872991798,0.24730003307425952,0.2566949817889987,0.2435977978375637,0.4420179795507246,0.4420179795507246,0.4420179795507246,0.4420179795507246
44,0.028511118184003932,35,397,305,2.0794415416798357,0.2474360734307204,0.2526581815887021,0.25611737324430833,0.24378837173626974,0.4157214420503032,0.4157214420503032,0.4157214420503032,0.4157214420503032
45,-0.019829195683459144,35,399,309,2.0794415416798357,0.24772159373505745,0.25362676082696123,0.2551478662471658,0.24350377919081537,0.4196310275040431,0.4196310275040431,0.4196310275040431,0.4196310275040431
46,0.0031360234300271323,35,403,313,2.0794415416798357,0.25125413326354085,0.25272763390040526,0.2552675877252569,0.24075064511079816,0.3997935050568126,0.3997935050568126,0.3997935050568126,0.3997935050568126
