iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
39,0.05402459167544852,59,421,988,0.8915981192837834,0.24767618134332298,0.2492452457988079,0.2526915093165439,0.2503870635413251,0.4141063846599427,0.4141063846599427,0.4141063846599427,0.4141063846599427
40,0.06598512841367526,61,431,1005,0.941608539858445,0.24799177225871954,0.24984347566647555,0.25162231582612676,0.25054243624867745,0.3772980604808184,0.3772980604808184,0.3772980604808184,0.3772980604808184
41,0.13872521645013539,61,440,1020,0.941608539858445,0.2485115758837413,0.25021304962154733,0.25000164394968544,0.2512737305450234,0.36784409512441363,0.36784409512441363,0.36784409512441363,0.36784409512441363
42,0.09960592552611296,62,447,1034,0.9675840262617056,0.24932961272963375,0.2493803972723429,0.24917955749971435,0.25211043249830745,0.3839949368435167,0.3839949368435167,0.3839949368435167,0.3839949368435167
43,0.11025758851357072,63,453,1053,0.9942522733438669,0.2515870451845419,0.25050683200869167,0.2477956080807601,0.25011051472600376,0.3977822933092829,0.3977822933092829,0.3977822933092829,0.3977822933092829
44,0.13687401577309796,64,463,1069,1.0216512475319814,0.251006828880858,0.24996707437589516,0.2485901253672007,0.25043597137604484,0.3963000243679346,0.3963000243679346,0.3963000243679346,0.3963000243679346
45,0.0822193021710277,64,466,1086,1.0216512475319814,0.25209253829802436,0.24907459444643543,0.24919468180358256,0.2496381854519504,0.3698367212875109,0.3698367212875109,0.3698367212875109,0.3698367212875109
46,0.10872258581780084,65,473,1106,1.0498221244986778,0.2521438413267726,0.24953352550538924,0.24836966657699056,0.24995296659084848,0.3658013671006343,0.3658013671006343,0.3658013671006343,0.3658013671006343
47,0.125253997114797,66,480,1122,1.07880966137193,0.25237419035774494,0.25086831902344525,0.24632553512175212,0.2504319554970576,0.4069992633062584,0.4069992633062584,0.4069992633062584,0.4069992633062584
48,0.10239706044611696,66,488,1139,1.07880966137193,0.2536203394524048,0.2500529317013319,0.24613536911839598,0.250191359727866,0.3839907794632768,0.3839907794632768,0.3839907794632768,0.3839907794632768
49,0.146680080883967,66,496,1157,1.07880966137193,0.2544517601292709,0.24991289826005747,0.24546646348490442,0.25016887812577016,0.3727292910800354,0.3727292910800354,0.3727292910800354,0.3727292910800354
50,0.11344470159259243,66,504,1174,1.07880966137193,0.2543977777896251,0.25096885081894904,0.24535299649665362,0.2492803748947724,0.40830193731876513,0.40830193731876513,0.40830193731876513,0.40830193731876513
51,0.09016274479225561,67,511,1190,1.1086626245216114,0.2528884265474798,0.25019826002629614,0.24629950734800005,0.2506138060782243,0.4330783602444206,0.4330783602444206,0.4330783602444206,0.4330783602444206
52,0.08904403207508454,69,518,1203,1.1711829815029449,0.25128934068218695,0.2513562088037046,0.24660035490729745,0.25075409560681267,0.4414336460497608,0.4414336460497608,0.4414336460497608,0.4414336460497608
