iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_neighbours,layer_interdependences_religion,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_neighbours,layer_polarisations_religion,layer_polarisations_cultural
68,0.18529738163333306,30,1040,917,0.916290731874155,0.19244449322210308,0.1954449457723059,0.22640289568948554,0.2032446747496289,0.1824629905664758,0.2439540268843996,0.2439540268843996,0.2439540268843996,0.2439540268843996,0.2439540268843996
69,0.2880696798091147,30,1052,931,0.916290731874155,0.1939248150000733,0.19841246985235542,0.2281563053024118,0.19057688626408922,0.18892952358107318,0.24652708527961273,0.24652708527961273,0.24652708527961273,0.24652708527961273,0.24652708527961273
70,0.2426690829156147,30,1066,943,0.916290731874155,0.1953143517390646,0.20083614864577207,0.2308841830039411,0.18111967475973606,0.1918456418514879,0.23475365584304458,0.23475365584304458,0.23475365584304458,0.23475365584304458,0.23475365584304458
71,0.2490688869630583,30,1078,957,0.916290731874155,0.19063714894976175,0.20314083681444192,0.22987369597065038,0.1879503273862944,0.18839799087885464,0.2292483931746759,0.2292483931746759,0.2292483931746759,0.2292483931746759,0.2292483931746759
72,0.270522879377057,30,1091,968,0.916290731874155,0.18616439735235243,0.20718085554289825,0.23875097890640573,0.1864080840570029,0.18149568414134223,0.24461729496119655,0.24461729496119655,0.24461729496119655,0.24461729496119655,0.24461729496119655
73,0.29354501383702336,30,1103,980,0.916290731874155,0.19042124025549304,0.20754854617393048,0.23469446814712927,0.18633107920491543,0.181004666218532,0.25027099856464013,0.25027099856464013,0.25027099856464013,0.25027099856464013,0.25027099856464013
74,0.28400640548245115,30,1116,993,0.916290731874155,0.1924973373171884,0.20789274639021102,0.23305241696259166,0.18376930782520107,0.18278819150480527,0.2437073661812349,0.2437073661812349,0.2437073661812349,0.2437073661812349,0.2437073661812349
75,0.28577341906294523,30,1128,1006,0.916290731874155,0.19316371004661198,0.2138177458649288,0.23074166788501138,0.18337524989965134,0.17890162630379705,0.2462961057028255,0.2462961057028255,0.2462961057028255,0.2462961057028255,0.2462961057028255
76,0.25523114690599324,30,1141,1019,0.916290731874155,0.19373486119822092,0.21062877810411496,0.22748902812918054,0.19025690756728744,0.177890425001196,0.257553505419663,0.257553505419663,0.257553505419663,0.257553505419663,0.257553505419663
77,0.20867532721922777,30,1153,1031,0.916290731874155,0.19555310224292305,0.20786990604756236,0.22060221528119886,0.19909923511196576,0.17687554131635122,0.27166661299907285,0.27166661299907285,0.27166661299907285,0.27166661299907285,0.27166661299907285
78,0.23760662777643796,30,1167,1044,0.916290731874155,0.19866358935333214,0.20012716256362678,0.22276374273172012,0.19004806146184863,0.1883974438894724,0.29144616814379865,0.29144616814379865,0.29144616814379865,0.29144616814379865,0.29144616814379865
79,0.2201802524737959,30,1179,1056,0.916290731874155,0.2015763802330976,0.20209277978258386,0.21606922580167945,0.19750009989249967,0.18276151429013768,0.2661232957327597,0.2661232957327597,0.2661232957327597,0.2661232957327597,0.2661232957327597
80,0.22892977339654952,31,1189,1066,0.9675840262617056,0.19855160261511284,0.1994808541938624,0.21576251727100537,0.19945117472895244,0.1867538511910675,0.2643992043673344,0.2643992043673344,0.2643992043673344,0.2643992043673344,0.2643992043673344
81,0.1388675794901134,31,1201,1079,0.9675840262617056,0.1963207533604592,0.2073878318961392,0.20759034711687854,0.20047065846749365,0.1882304091590302,0.2906219282268056,0.2906219282268056,0.2906219282268056,0.2906219282268056,0.2906219282268056
82,0.23281754887143358,31,1214,1092,0.9675840262617056,0.1924323972271529,0.19938578233134616,0.21516794565292593,0.2013829963002593,0.19163087848831398,0.3083284103234065,0.3083284103234065,0.3083284103234065,0.3083284103234065,0.3083284103234065
83,0.15203521209136053,31,1224,1105,0.9675840262617056,0.19034004910642605,0.20050580456604544,0.21477215960714519,0.2065879335762005,0.18779405314418043,0.2969058868702371,0.2969058868702371,0.2969058868702371,0.2969058868702371,0.2969058868702371
84,0.18630920849195845,31,1235,1118,0.9675840262617056,0.1905328714170082,0.19672449403421494,0.21483992107002334,0.2091318945741221,0.18877081890462816,0.31891919006105635,0.31891919006105635,0.31891919006105635,0.31891919006105635,0.31891919006105635
85,0.1353148790130452,31,1246,1131,0.9675840262617056,0.1909037239411789,0.20206531426757632,0.21085679679384037,0.21790400148300987,0.1782701635143928,0.3414576953683709,0.3414576953683709,0.3414576953683709,0.3414576953683709,0.3414576953683709
86,0.13179998194037276,31,1257,1142,0.9675840262617056,0.1898445632705679,0.2019784752473845,0.2129927745624576,0.212042830305667,0.1831413566139219,0.38083153429437083,0.38083153429437083,0.38083153429437083,0.38083153429437083,0.38083153429437083
87,0.06624324401738774,32,1269,1155,1.0216512475319814,0.1910462907387779,0.20481579556857862,0.21135621429274654,0.2104283840712401,0.18235331532865665,0.38989724970054984,0.38989724970054984,0.38989724970054984,0.38989724970054984,0.38989724970054984
88,0.11091832357446549,32,1281,1167,1.0216512475319814,0.19011807929142013,0.20018959019323204,0.21577202163870654,0.20713914943786008,0.18678115943878076,0.41511006156611313,0.41511006156611313,0.41511006156611313,0.41511006156611313,0.41511006156611313
89,0.05015139216405301,32,1294,1181,1.0216512475319814,0.19219788906884439,0.1965431445826195,0.21741193737893072,0.2070266301203432,0.1868203988492593,0.41409157051893,0.41409157051893,0.41409157051893,0.41409157051893,0.41409157051893
90,0.06718864292553416,32,1307,1193,1.0216512475319814,0.1884554744337284,0.19446487624599545,0.22505465027368557,0.20219604093465315,0.18982895811193573,0.39073784781066206,0.39073784781066206,0.39073784781066206,0.39073784781066206,0.39073784781066206
91,0.052288520253457156,32,1319,1206,1.0216512475319814,0.19180069741550962,0.19354961834269233,0.22241468793562677,0.20170953325222613,0.1905254630539444,0.39497464942290345,0.39497464942290345,0.39497464942290345,0.39497464942290345,0.39497464942290345
92,0.016155200098784912,32,1333,1220,1.0216512475319814,0.19134646407360728,0.19397778897387094,0.22082824079607016,0.20170421288198062,0.19214329327446866,0.3790288164297696,0.3790288164297696,0.3790288164297696,0.3790288164297696,0.3790288164297696
93,0.05222966915390544,32,1347,1234,1.0216512475319814,0.19179028110277754,0.19132849405816604,0.22115143719311692,0.20345338468548108,0.19227640296045748,0.390022169585396,0.390022169585396,0.390022169585396,0.390022169585396,0.390022169585396
94,0.05059109535384715,32,1361,1248,1.0216512475319814,0.18909462750984382,0.19224739784682598,0.21872083835850337,0.21132090218338886,0.18861623410143732,0.3733977582067385,0.3733977582067385,0.3733977582067385,0.3733977582067385,0.3733977582067385
95,0.02723318292282828,32,1375,1262,1.0216512475319814,0.19510846288746464,0.19035662526552563,0.2189431995279266,0.2056827843581689,0.1899089279609105,0.4177130701301487,0.4177130701301487,0.4177130701301487,0.4177130701301487,0.4177130701301487
96,0.07830445199751823,32,1388,1275,1.0216512475319814,0.19856769335672605,0.1900276521638212,0.22175990371261603,0.20170604646547446,0.18793870430135984,0.39732638821916166,0.39732638821916166,0.39732638821916166,0.39732638821916166,0.39732638821916166
97,-0.00866940352419122,32,1403,1289,1.0216512475319814,0.19834768416723564,0.18808791464488328,0.21903460084154594,0.19763714534824628,0.1968926549980883,0.406728580656378,0.406728580656378,0.406728580656378,0.406728580656378,0.406728580656378
98,0.0736762656633219,32,1417,1302,1.0216512475319814,0.19494906384012584,0.1898718214931241,0.22063560047834552,0.1948144063954346,0.19972910779296799,0.3571719687620502,0.3571719687620502,0.3571719687620502,0.3571719687620502,0.3571719687620502
99,-0.014062244353182018,32,1431,1315,1.0216512475319814,0.1945543067376272,0.1903087178765288,0.21837506763887163,0.19434741376854894,0.2024144939784232,0.3909268812055106,0.3909268812055106,0.3909268812055106,0.3909268812055106,0.3909268812055106
100,0.10430125264348514,32,1443,1330,1.0216512475319814,0.19820155852659715,0.18989270904498196,0.21759998607869446,0.19331023546859513,0.20099551088112919,0.3729821471870745,0.3729821471870745,0.3729821471870745,0.3729821471870745,0.3729821471870745
