iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_interdependences_E,layer_interdependences_F,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D,layer_polarisations_E,layer_polarisations_F
52,-0.02057432105233221,75,1458,1047,1.3862943611198906,0.16725617296800294,0.16997959663371726,0.16347125345519023,0.16544438934966663,0.16916757825334883,0.16468100934007399,0.3966181131983766,0.3966181131983766,0.3966181131983766,0.3966181131983766,0.3966181131983766,0.3966181131983766
53,-0.03539336312011904,75,1476,1062,1.3862943611198906,0.16749495735312828,0.1704566724611975,0.16551937503528596,0.16559595347695136,0.16676093404725612,0.1641721076261756,0.43647461238789037,0.43647461238789037,0.43647461238789037,0.43647461238789037,0.43647461238789037,0.43647461238789037
54,0.021631834861808502,76,1492,1077,1.4271163556401458,0.16828892029357176,0.16884678031601666,0.16600733266683215,0.1641515310696204,0.16865419954688882,0.16405123610707123,0.4136460010491129,0.4136460010491129,0.4136460010491129,0.4136460010491129,0.4136460010491129,0.4136460010491129
55,0.020249206448450286,76,1509,1090,1.4271163556401458,0.16920790236882868,0.16968367767021786,0.16449624548467923,0.16443321367043484,0.16793945041480962,0.16423951039102885,0.3864382557122528,0.3864382557122528,0.3864382557122528,0.3864382557122528,0.3864382557122528,0.3864382557122528
56,0.00014956319720148105,78,1525,1105,1.5141277326297755,0.16868290764326213,0.1679401915466627,0.16379227974955432,0.16449724087586645,0.1704531511333974,0.16463422905125766,0.36859641875635774,0.36859641875635774,0.36859641875635774,0.36859641875635774,0.36859641875635774,0.36859641875635774
57,0.003754404248209129,78,1544,1121,1.5141277326297755,0.16708895162398052,0.16907760623916368,0.16494737167883938,0.16270554483402558,0.16975249375798188,0.16642803186600427,0.3774578006355729,0.3774578006355729,0.3774578006355729,0.3774578006355729,0.3774578006355729,0.3774578006355729
58,0.05869607908407252,78,1561,1137,1.5141277326297755,0.1683623701318114,0.1688365088035527,0.1630329735159526,0.1635074029269192,0.1716411664674027,0.1646195781543583,0.4027901621429258,0.4027901621429258,0.4027901621429258,0.4027901621429258,0.4027901621429258,0.4027901621429258
59,-0.02270853145972927,79,1578,1152,1.5606477482646686,0.16868569838409725,0.16932012459309007,0.1634063217281902,0.1625460195459869,0.1706597669588351,0.16538206878980063,0.3652408421818399,0.3652408421818399,0.3652408421818399,0.3652408421818399,0.3652408421818399,0.3652408421818399
60,0.062246935231759115,79,1596,1168,1.5606477482646686,0.16866560713525852,0.17004115651690488,0.16238306514514353,0.16304378605392486,0.17110104186187441,0.16476534328689404,0.36789712609851477,0.36789712609851477,0.36789712609851477,0.36789712609851477,0.36789712609851477,0.36789712609851477
61,0.028957310818310877,79,1612,1183,1.5606477482646686,0.1660845481037629,0.1690744639900012,0.16301586974326363,0.16371531300311437,0.17019661904905062,0.16791318611080325,0.369551739396529,0.369551739396529,0.369551739396529,0.369551739396529,0.369551739396529,0.369551739396529
62,0.08747133647181342,79,1629,1197,1.5606477482646686,0.16604067302023165,0.1683228680788176,0.16250808793707053,0.16328839656669047,0.17124036142178242,0.16859961297540563,0.38821298222944006,0.38821298222944006,0.38821298222944006,0.38821298222944006,0.38821298222944006,0.38821298222944006
63,0.009955541142253358,79,1645,1212,1.5606477482646686,0.1664014030592816,0.16839471372957296,0.16243185641517396,0.1631368310470869,0.1707254704857002,0.16890972526318218,0.36674055784478327,0.36674055784478327,0.36674055784478327,0.36674055784478327,0.36674055784478327,0.36674055784478327
64,0.09086734927545148,80,1661,1228,1.6094379124341005,0.16690866790857384,0.16761547956972886,0.1634000144475208,0.16257323882567387,0.16995705402584163,0.16954554522265708,0.38748787886669434,0.38748787886669434,0.38748787886669434,0.38748787886669434,0.38748787886669434,0.38748787886669434
65,0.06701961550637976,80,1679,1244,1.6094379124341005,0.1670127401070153,0.1687086282523887,0.16376273415790388,0.16218146463432437,0.16949311950814577,0.16884131334022082,0.39455998373091555,0.39455998373091555,0.39455998373091555,0.39455998373091555,0.39455998373091555,0.39455998373091555
66,0.07206985656546196,80,1695,1257,1.6094379124341005,0.16934150050294866,0.16950997307829016,0.16364142293985068,0.16230172395135867,0.16854961187110232,0.16665576765644668,0.4230171545373468,0.4230171545373468,0.4230171545373468,0.4230171545373468,0.4230171545373468,0.4230171545373468
67,0.07498139231086919,80,1708,1271,1.6094379124341005,0.16917323024458597,0.16844773901692472,0.16426867547730356,0.16378292886815138,0.16862321807799802,0.16570420831503038,0.4417675586755306,0.4417675586755306,0.4417675586755306,0.4417675586755306,0.4417675586755306,0.4417675586755306
68,-0.04557816751722703,80,1724,1287,1.6094379124341005,0.16836840126481104,0.16797054481564205,0.1651085980491998,0.1639510464794904,0.16794909886713946,0.16665231052371635,0.42420550049745287,0.42420550049745287,0.42420550049745287,0.42420550049745287,0.42420550049745287,0.42420550049745287
69,0.05001884299157908,80,1740,1303,1.6094379124341005,0.1675776344031921,0.167617596879098,0.1632845440085421,0.16513639873770056,0.16732845933053841,0.16905536664092827,0.4610122776842585,0.4610122776842585,0.4610122776842585,0.4610122776842585,0.4610122776842585,0.4610122776842585
70,-0.005081470788924867,81,1755,1316,1.660731206821651,0.1669066367503821,0.1669090410417954,0.16469101940282552,0.16520261862020352,0.16717164555146197,0.16911903863332958,0.4442193938433517,0.4442193938433517,0.4442193938433517,0.4442193938433517,0.4442193938433517,0.4442193938433517
71,0.0326394388095312,81,1767,1331,1.660731206821651,0.16695242277716243,0.16677488945287483,0.16414821262838183,0.16478415069643562,0.16866576459000088,0.16867455985514437,0.43478936476497043,0.43478936476497043,0.43478936476497043,0.43478936476497043,0.43478936476497043,0.43478936476497043
72,0.040290324247099295,81,1778,1346,1.660731206821651,0.16854904623625286,0.16557416932859956,0.16409773938739916,0.16572736319548345,0.16821364078414508,0.16783804106811726,0.42802808768881706,0.42802808768881706,0.42802808768881706,0.42802808768881706,0.42802808768881706,0.42802808768881706
73,0.047323492821880454,81,1790,1362,1.660731206821651,0.16799492109102332,0.16742472200931546,0.16476774299854452,0.16364148178228155,0.1682625760121224,0.16790855610671224,0.4281699298642343,0.4281699298642343,0.4281699298642343,0.4281699298642343,0.4281699298642343,0.4281699298642343
74,0.034806631057443305,81,1806,1377,1.660731206821651,0.16903378884244746,0.16760032255467425,0.16460291586173645,0.1637810933783115,0.1672736855251532,0.1677081938376781,0.39429064593696356,0.39429064593696356,0.39429064593696356,0.39429064593696356,0.39429064593696356,0.39429064593696356
75,0.06239496842185046,81,1817,1393,1.660731206821651,0.16748676946522859,0.16706292827096986,0.16604848175638334,0.16640945985973338,0.166870943229033,0.16612141741865558,0.3952286883868245,0.3952286883868245,0.3952286883868245,0.3952286883868245,0.3952286883868245,0.3952286883868245
76,0.005542545209538399,82,1831,1410,1.7147984280919264,0.16745458101716262,0.16718272618170263,0.1659082387902025,0.1661593161831776,0.16701762647115917,0.16627751135659774,0.38641982250821577,0.38641982250821577,0.38641982250821577,0.38641982250821577,0.38641982250821577,0.38641982250821577
77,0.045017708537427065,82,1840,1424,1.7147984280919264,0.166115786343001,0.16872706578700147,0.16548697924048053,0.16536056173042343,0.16853888890589566,0.165770717993197,0.44020086259421637,0.44020086259421637,0.44020086259421637,0.44020086259421637,0.44020086259421637,0.44020086259421637
78,0.0409005627275145,82,1852,1435,1.7147984280919264,0.16751863694935237,0.16806879724696308,0.16430098234635887,0.1654878999712599,0.1695809647221669,0.1650427187638968,0.4413984492507844,0.4413984492507844,0.4413984492507844,0.4413984492507844,0.4413984492507844,0.4413984492507844
79,0.07100330836671634,82,1865,1449,1.7147984280919264,0.1659192163230015,0.16888340726266332,0.16495233491651515,0.16412983017883484,0.17026846313830513,0.1658467481806829,0.4326484017823883,0.4326484017823883,0.4326484017823883,0.4326484017823883,0.4326484017823883,0.4326484017823883
80,0.053692116711355736,82,1879,1460,1.7147984280919264,0.16612600854375228,0.16873064366655388,0.16482251132730893,0.16496161260616768,0.1691345382427385,0.16622468561347797,0.45544061281555553,0.45544061281555553,0.45544061281555553,0.45544061281555553,0.45544061281555553,0.45544061281555553
81,0.12356906037862346,82,1891,1473,1.7147984280919264,0.16549512530245192,0.1694501251605192,0.16475753887734598,0.16604975492834545,0.1684526615493355,0.16579479418200302,0.45219733751875124,0.45219733751875124,0.45219733751875124,0.45219733751875124,0.45219733751875124,0.45219733751875124
82,0.0923307657549644,82,1903,1488,1.7147984280919264,0.1663144078591775,0.1689124649911054,0.16536327016527855,0.16574765574763578,0.16795162888994666,0.1657105723468592,0.462180594940522,0.462180594940522,0.462180594940522,0.462180594940522,0.462180594940522,0.462180594940522
83,0.0842707877799008,82,1914,1501,1.7147984280919264,0.16639374943103788,0.1666993106193625,0.16610307422675324,0.16631856139241621,0.1698641981597956,0.16462110617063383,0.3793206099600279,0.3793206099600279,0.3793206099600279,0.3793206099600279,0.3793206099600279,0.3793206099600279
84,0.028705935965687754,82,1924,1513,1.7147984280919264,0.16790933323218807,0.1656774726687678,0.16475133512145354,0.16717048952023195,0.1704841050038126,0.16400726445354802,0.3807396923903362,0.3807396923903362,0.3807396923903362,0.3807396923903362,0.3807396923903362,0.3807396923903362
85,0.059577327901276476,82,1939,1529,1.7147984280919264,0.16825662945907566,0.1672127474108217,0.166279713823259,0.16566831744215121,0.1681685178738903,0.16441407399080193,0.37235361041248166,0.37235361041248166,0.37235361041248166,0.37235361041248166,0.37235361041248166,0.37235361041248166
86,0.13916647080142627,82,1952,1544,1.7147984280919264,0.16797035378774583,0.16831620321519097,0.16383195527802064,0.1651600110000922,0.16611937569526622,0.168602101023682,0.3635926150579322,0.3635926150579322,0.3635926150579322,0.3635926150579322,0.3635926150579322,0.3635926150579322
87,0.031340317010480984,82,1964,1559,1.7147984280919264,0.1668733716302197,0.16866163403051546,0.1650549906163004,0.16544001306885348,0.1678653037701376,0.16610468688397645,0.3586333435951978,0.3586333435951978,0.3586333435951978,0.3586333435951978,0.3586333435951978,0.3586333435951978
88,0.0520230825415775,82,1977,1573,1.7147984280919264,0.16615089537823866,0.16676072072142617,0.16645896583114037,0.16482247220736013,0.16858992085872515,0.1672170250031078,0.408047169412047,0.408047169412047,0.408047169412047,0.408047169412047,0.408047169412047,0.408047169412047
89,0.09487976513137195,82,1990,1586,1.7147984280919264,0.16607090808304187,0.16681990541519134,0.1656400889282861,0.1666585690761605,0.16788579103501647,0.16692473746230682,0.3988137108669723,0.3988137108669723,0.3988137108669723,0.3988137108669723,0.3988137108669723,0.3988137108669723
90,-0.009341256169211243,82,2003,1599,1.7147984280919264,0.1669880517463291,0.16854661334995225,0.1656075698500757,0.16815951043897112,0.1647872307252755,0.16591102388939685,0.4161367889900032,0.4161367889900032,0.4161367889900032,0.4161367889900032,0.4161367889900032,0.4161367889900032
91,0.12281078153312905,82,2018,1616,1.7147984280919264,0.16745590488040332,0.16867244027987338,0.16501489492739396,0.16730526406563584,0.16631126149159361,0.16524023435509536,0.37986432971035267,0.37986432971035267,0.37986432971035267,0.37986432971035267,0.37986432971035267,0.37986432971035267
92,0.07612118356712774,82,2032,1631,1.7147984280919264,0.16693065687051903,0.16722481542994125,0.16479331361523042,0.1673381515508334,0.1680122290618508,0.16570083347161776,0.38023598234368494,0.38023598234368494,0.38023598234368494,0.38023598234368494,0.38023598234368494,0.38023598234368494
93,0.1740235736302297,82,2046,1646,1.7147984280919264,0.1678152599484632,0.1667401958740415,0.16449312378756084,0.16462120528481197,0.17022440522242077,0.16610580988269946,0.3685770834267925,0.3685770834267925,0.3685770834267925,0.3685770834267925,0.3685770834267925,0.3685770834267925
94,0.18471355574747764,82,2058,1659,1.7147984280919264,0.1672667462996433,0.1680135989263219,0.1647677494047152,0.16400397751401188,0.16790601319271084,0.1680419146625965,0.3562678482012275,0.3562678482012275,0.3562678482012275,0.3562678482012275,0.3562678482012275,0.3562678482012275
95,0.19770785603442267,82,2070,1676,1.7147984280919264,0.1681187163650669,0.1661110067979958,0.16377971248041623,0.16588024248059288,0.16850742390883425,0.16760289796709257,0.3879519200505255,0.3879519200505255,0.3879519200505255,0.3879519200505255,0.3879519200505255,0.3879519200505255
96,0.11131194634744329,82,2084,1692,1.7147984280919264,0.16909043598500229,0.1659950179404201,0.16306920687231183,0.16534438014007566,0.16811294976695834,0.16838800929522862,0.38637140852514595,0.38637140852514595,0.38637140852514595,0.38637140852514595,0.38637140852514595,0.38637140852514595
97,0.13395098584241924,82,2097,1706,1.7147984280919264,0.16890391428837828,0.16510020042787324,0.1654771573498854,0.1645490605950678,0.16744476278077525,0.16852490455801863,0.38351335164909306,0.38351335164909306,0.38351335164909306,0.38351335164909306,0.38351335164909306,0.38351335164909306
98,0.11345641673924942,82,2109,1719,1.7147984280919264,0.16827115917791066,0.16502754267670205,0.16599406235521905,0.16526115066003028,0.16634520598867633,0.16910087914145924,0.39487366465305834,0.39487366465305834,0.39487366465305834,0.39487366465305834,0.39487366465305834,0.39487366465305834
99,0.13584606608237584,82,2125,1735,1.7147984280919264,0.16900437959276438,0.1638133070989711,0.16613794767301707,0.16572694754075087,0.16650792032372036,0.16880949777077398,0.3926242474022388,0.3926242474022388,0.3926242474022388,0.3926242474022388,0.3926242474022388,0.3926242474022388
100,0.07708672752504087,82,2141,1752,1.7147984280919264,0.16915770347094577,0.16489607429626435,0.16632812335764982,0.16499975002516368,0.16671359966908625,0.16790474918089004,0.41981486423355635,0.41981486423355635,0.41981486423355635,0.41981486423355635,0.41981486423355635,0.41981486423355635
